mercadoid	merctamano	ubicacionid	edadubic	promo	semana	ventas
9.00	Grande	817.00	18.00	2.00	1.00	41.07
9.00	Grande	817.00	18.00	2.00	2.00	33.32
9.00	Grande	817.00	18.00	2.00	3.00	44.00
9.00	Grande	817.00	18.00	2.00	4.00	40.89
9.00	Grande	818.00	8.00	1.00	1.00	45.74
9.00	Grande	818.00	8.00	1.00	2.00	45.06
9.00	Grande	818.00	8.00	1.00	3.00	43.95
9.00	Grande	818.00	8.00	1.00	4.00	50.30
9.00	Grande	819.00	7.00	3.00	1.00	36.73
9.00	Grande	819.00	7.00	3.00	2.00	47.01
9.00	Grande	819.00	7.00	3.00	3.00	41.94
9.00	Grande	819.00	7.00	3.00	4.00	38.81
9.00	Grande	820.00	2.00	2.00	1.00	45.25
9.00	Grande	820.00	2.00	2.00	2.00	41.47
9.00	Grande	820.00	2.00	2.00	3.00	38.60
9.00	Grande	820.00	2.00	2.00	4.00	35.27
9.00	Grande	821.00	6.00	1.00	1.00	42.81
9.00	Grande	821.00	6.00	1.00	2.00	56.54
9.00	Grande	821.00	6.00	1.00	3.00	42.63
9.00	Grande	821.00	6.00	1.00	4.00	38.62
9.00	Grande	822.00	6.00	2.00	1.00	39.65
9.00	Grande	822.00	6.00	2.00	2.00	36.77
9.00	Grande	822.00	6.00	2.00	3.00	34.21
9.00	Grande	822.00	6.00	2.00	4.00	31.58
9.00	Grande	823.00	6.00	3.00	1.00	51.86
9.00	Grande	823.00	6.00	3.00	2.00	43.76
9.00	Grande	823.00	6.00	3.00	3.00	35.75
9.00	Grande	823.00	6.00	3.00	4.00	39.06
10.00	Pequeño	901.00	5.00	1.00	1.00	54.71
10.00	Pequeño	901.00	5.00	1.00	2.00	54.02
10.00	Pequeño	901.00	5.00	1.00	3.00	53.33
10.00	Pequeño	901.00	5.00	1.00	4.00	57.65
10.00	Pequeño	902.00	4.00	3.00	1.00	34.63
10.00	Pequeño	902.00	4.00	3.00	2.00	47.06
10.00	Pequeño	902.00	4.00	3.00	3.00	48.42
10.00	Pequeño	902.00	4.00	3.00	4.00	49.28
10.00	Pequeño	903.00	11.00	3.00	1.00	48.33
10.00	Pequeño	903.00	11.00	3.00	2.00	50.50
10.00	Pequeño	903.00	11.00	3.00	3.00	49.48
10.00	Pequeño	903.00	11.00	3.00	4.00	44.35
10.00	Pequeño	904.00	13.00	1.00	1.00	45.09
10.00	Pequeño	904.00	13.00	1.00	2.00	54.07
10.00	Pequeño	904.00	13.00	1.00	3.00	58.04
10.00	Pequeño	904.00	13.00	1.00	4.00	46.82
