Edad	Genero	CasaPropia	EstadoCiv	Ubicación	Salario	Niños	Historia	Catalogos	MontoDinero
Joven	Mujer	Propia	Soltero	Cerca	33400	1	NA	6	617
Adulto	Hombre	Propia	Casado	Lejos	70000	1	NA	6	1227
Adulto	Mujer	Propia	Soltero	Cerca	47900	1	Media	24	662
Adulto	Mujer	Alquilada	Casado	Cerca	40500	2	Baja	18	622
Mayor	Hombre	Propia	Soltero	Cerca	69100	0	Alta	12	1477
Joven	Mujer	Alquilada	Soltero	Cerca	13300	1	NA	6	236
Adulto	Mujer	Alquilada	Casado	Lejos	75800	1	Alta	12	1830
Adulto	Mujer	Alquilada	Casado	Cerca	48600	0	Media	24	1583
Mayor	Mujer	Propia	Soltero	Cerca	39600	0	Media	12	610
Joven	Mujer	Alquilada	Soltero	Cerca	11700	0	Baja	12	193
Joven	Hombre	Alquilada	Casado	Cerca	52600	1	Media	12	1052
Joven	Hombre	Alquilada	Soltero	Cerca	14600	3	NA	6	307
Mayor	Hombre	Propia	Casado	Cerca	123000	0	Alta	24	3671
Mayor	Mujer	Alquilada	Casado	Lejos	64600	0	Alta	18	2206
Adulto	Mujer	Propia	Soltero	Lejos	34600	2	Media	18	748
Adulto	Hombre	Propia	Casado	Cerca	74500	0	Alta	6	1481
Mayor	Hombre	Propia	Casado	Cerca	56600	0	NA	24	1607
Mayor	Mujer	Alquilada	Soltero	Cerca	37000	1	NA	6	632
Joven	Mujer	Alquilada	Soltero	Lejos	18400	1	Baja	6	303
Joven	Hombre	Alquilada	Soltero	Cerca	25000	0	Baja	6	264
Adulto	Hombre	Propia	Casado	Lejos	61400	1	Alta	24	1575
Adulto	Hombre	Propia	Casado	Cerca	76400	2	Media	18	881
Joven	Hombre	Propia	Casado	Cerca	55100	0	Media	18	1439
Mayor	Mujer	Propia	Casado	Lejos	22800	0	NA	12	452
Mayor	Mujer	Propia	Casado	Cerca	10100	1	Baja	6	93
Joven	Hombre	Alquilada	Soltero	Cerca	17800	0	Baja	18	292
Adulto	Mujer	Propia	Casado	Cerca	59100	1	NA	6	1426
Joven	Mujer	Alquilada	Soltero	Lejos	19700	2	Baja	6	330
Adulto	Hombre	Propia	Casado	Lejos	73800	0	Alta	24	3120
Adulto	Hombre	Propia	Casado	Lejos	113300	1	Alta	18	5151
Adulto	Hombre	Propia	Casado	Lejos	118400	2	NA	12	3941
Adulto	Hombre	Propia	Casado	Cerca	92300	1	NA	24	2141
Joven	Hombre	Alquilada	Soltero	Cerca	11200	0	NA	6	106
Joven	Mujer	Alquilada	Casado	Lejos	30100	0	Media	12	530
Adulto	Mujer	Propia	Soltero	Cerca	43500	1	Media	12	500
Adulto	Hombre	Propia	Casado	Cerca	97500	0	Alta	18	2837
Mayor	Hombre	Propia	Casado	Cerca	54600	0	Media	24	1246
Adulto	Hombre	Alquilada	Soltero	Lejos	42500	1	NA	6	798
Adulto	Hombre	Propia	Soltero	Cerca	82800	0	NA	6	1544
Mayor	Hombre	Propia	Casado	Lejos	62300	0	Alta	24	2644
Joven	Hombre	Alquilada	Soltero	Lejos	21900	2	NA	6	192
Adulto	Mujer	Alquilada	Soltero	Lejos	35600	3	Baja	18	865
Adulto	Hombre	Propia	Casado	Cerca	96900	0	Alta	6	1159
Joven	Mujer	Alquilada	Casado	Cerca	36900	1	NA	18	1480
Adulto	Mujer	Alquilada	Casado	Cerca	93500	1	Alta	18	1426
Adulto	Hombre	Propia	Casado	Cerca	97300	1	NA	12	3048
Joven	Hombre	Alquilada	Soltero	Cerca	21900	0	Baja	12	276
Adulto	Hombre	Alquilada	Soltero	Cerca	63000	0	Alta	24	1910
Joven	Mujer	Alquilada	Soltero	Cerca	11500	3	NA	6	157
Adulto	Hombre	Propia	Soltero	Cerca	44600	2	Baja	6	236
Joven	Mujer	Alquilada	Soltero	Cerca	21900	1	NA	12	576
Adulto	Hombre	Alquilada	Soltero	Lejos	45100	1	Media	12	794
Mayor	Mujer	Propia	Casado	Cerca	74900	0	Alta	12	1474
Joven	Hombre	Alquilada	Soltero	Cerca	14200	0	Baja	6	250
Joven	Mujer	Alquilada	Soltero	Lejos	23200	2	NA	24	788
Mayor	Hombre	Propia	Casado	Cerca	73300	0	NA	12	1694
Mayor	Hombre	Propia	Casado	Lejos	41300	0	Alta	24	1985
Mayor	Mujer	Propia	Soltero	Lejos	32700	0	Media	24	1252
Mayor	Mujer	Propia	Soltero	Cerca	35200	0	NA	12	827
Joven	Mujer	Alquilada	Soltero	Cerca	13100	0	NA	18	314
Adulto	Hombre	Propia	Casado	Cerca	97400	1	Alta	6	880
Joven	Mujer	Alquilada	Soltero	Lejos	23100	2	Baja	6	466
Adulto	Hombre	Propia	Soltero	Cerca	49200	3	Baja	12	210
Adulto	Hombre	Propia	Soltero	Lejos	45000	1	NA	18	902
Adulto	Hombre	Propia	Casado	Cerca	87200	0	Alta	18	1274
Adulto	Hombre	Propia	Soltero	Cerca	49900	1	NA	24	1631
Adulto	Hombre	Propia	Casado	Cerca	66900	0	Alta	12	1220
Adulto	Mujer	Propia	Soltero	Cerca	47600	1	Media	12	801
Adulto	Mujer	Propia	Soltero	Cerca	47900	0	NA	12	1090
Adulto	Hombre	Propia	Soltero	Cerca	59400	0	Media	18	1699
Adulto	Mujer	Alquilada	Soltero	Cerca	32700	2	Baja	6	273
Adulto	Hombre	Alquilada	Soltero	Cerca	34200	1	Baja	18	523
Adulto	Hombre	Propia	Casado	Cerca	96600	0	NA	12	1437
Adulto	Mujer	Propia	Casado	Cerca	126300	1	Alta	6	1888
Joven	Hombre	Alquilada	Soltero	Cerca	31600	1	NA	12	476
Adulto	Mujer	Propia	Casado	Lejos	108100	3	Alta	18	2632
Adulto	Mujer	Alquilada	Soltero	Cerca	43300	3	Baja	24	326
Mayor	Mujer	Alquilada	Soltero	Lejos	17900	0	Baja	6	446
Adulto	Hombre	Propia	Soltero	Lejos	50100	1	Alta	18	1071
Mayor	Mujer	Propia	Casado	Cerca	74700	0	Alta	12	1699
Mayor	Hombre	Alquilada	Casado	Cerca	60000	0	Media	6	966
Joven	Hombre	Propia	Soltero	Cerca	33400	0	NA	12	567
Adulto	Mujer	Alquilada	Casado	Cerca	68800	0	NA	6	1658
Adulto	Mujer	Alquilada	Soltero	Cerca	25700	2	Baja	6	173
Adulto	Hombre	Propia	Casado	Cerca	83700	0	Alta	24	3344
Adulto	Hombre	Alquilada	Soltero	Cerca	50500	0	Media	12	1029
Joven	Mujer	Alquilada	Soltero	Cerca	17300	0	Baja	12	345
Adulto	Hombre	Propia	Soltero	Cerca	45800	0	NA	6	712
Mayor	Hombre	Propia	Casado	Cerca	108900	0	Alta	12	1841
Adulto	Mujer	Alquilada	Casado	Cerca	60500	2	Baja	6	409
Mayor	Mujer	Propia	Casado	Lejos	84100	0	Alta	18	2710
Joven	Hombre	Alquilada	Casado	Lejos	25100	0	Media	12	592
Adulto	Hombre	Propia	Casado	Cerca	69900	1	NA	18	2101
Adulto	Hombre	Propia	Casado	Cerca	97100	0	NA	12	1473
Adulto	Mujer	Propia	Casado	Cerca	72200	2	Media	18	715
Mayor	Mujer	Propia	Casado	Lejos	78900	0	Alta	18	2233
Adulto	Mujer	Propia	Soltero	Lejos	62500	3	NA	6	921
Joven	Mujer	Alquilada	Soltero	Cerca	17800	1	Baja	6	216
Adulto	Mujer	Propia	Casado	Cerca	105500	1	Alta	6	1781
Adulto	Mujer	Propia	Soltero	Cerca	46100	2	Baja	12	418
Joven	Hombre	Alquilada	Soltero	Cerca	27100	1	Baja	12	268
Joven	Hombre	Alquilada	Casado	Lejos	60300	1	NA	6	1252
Joven	Mujer	Alquilada	Soltero	Cerca	12000	0	Baja	6	140
Adulto	Mujer	Propia	Soltero	Cerca	48400	0	Media	12	992
Adulto	Hombre	Alquilada	Soltero	Cerca	45600	0	Media	18	1388
Adulto	Mujer	Propia	Soltero	Cerca	35200	2	Baja	6	233
Adulto	Hombre	Alquilada	Soltero	Lejos	60200	0	Alta	24	2304
Adulto	Mujer	Alquilada	Casado	Lejos	53900	1	Alta	18	2177
Adulto	Hombre	Propia	Casado	Cerca	70400	2	NA	12	1127
Joven	Hombre	Alquilada	Casado	Cerca	36900	0	Media	18	721
Mayor	Mujer	Propia	Soltero	Cerca	36100	0	Media	12	438
Joven	Mujer	Alquilada	Soltero	Cerca	11000	2	NA	18	393
Adulto	Hombre	Propia	Soltero	Cerca	61600	0	NA	18	1666
Adulto	Hombre	Propia	Casado	Cerca	88700	1	NA	18	2448
Adulto	Mujer	Propia	Casado	Lejos	88600	1	Alta	18	2563
Adulto	Hombre	Alquilada	Casado	Cerca	79500	0	Alta	18	1763
Joven	Mujer	Alquilada	Soltero	Cerca	18900	1	Baja	6	184
Mayor	Mujer	Propia	Soltero	Cerca	17300	0	Baja	6	166
Adulto	Mujer	Alquilada	Casado	Cerca	81400	2	NA	6	1014
Joven	Hombre	Alquilada	Casado	Cerca	36500	0	Media	24	1140
Adulto	Mujer	Propia	Soltero	Cerca	43300	1	NA	18	1021
Adulto	Hombre	Propia	Casado	Cerca	76700	1	Media	24	1431
Adulto	Hombre	Propia	Casado	Lejos	123000	1	Alta	24	5878
Adulto	Hombre	Propia	Soltero	Cerca	56300	3	Baja	6	321
Adulto	Hombre	Propia	Casado	Cerca	70000	0	Alta	24	1974
Adulto	Hombre	Propia	Soltero	Cerca	48100	0	Media	18	1640
Joven	Mujer	Alquilada	Casado	Cerca	79400	0	NA	6	1175
Adulto	Mujer	Propia	Casado	Cerca	63700	3	Baja	12	364
Joven	Hombre	Alquilada	Soltero	Cerca	21200	0	NA	12	417
Adulto	Hombre	Alquilada	Soltero	Cerca	53900	0	Media	12	1060
Mayor	Mujer	Propia	Casado	Cerca	118800	0	Alta	18	2176
Adulto	Mujer	Propia	Casado	Cerca	79400	3	Baja	6	200
Mayor	Mujer	Alquilada	Soltero	Lejos	20400	0	NA	24	513
Adulto	Hombre	Alquilada	Soltero	Cerca	52400	0	NA	18	857
Mayor	Mujer	Propia	Soltero	Cerca	17600	0	Baja	6	224
Joven	Hombre	Alquilada	Soltero	Cerca	23500	0	Baja	12	371
Joven	Hombre	Alquilada	Casado	Cerca	56900	2	Baja	12	687
Adulto	Hombre	Propia	Casado	Cerca	95100	2	Media	12	809
Adulto	Hombre	Propia	Casado	Cerca	119800	2	Media	24	2090
Mayor	Hombre	Propia	Soltero	Cerca	58700	0	NA	24	1479
Adulto	Mujer	Propia	Casado	Cerca	76700	2	Media	6	534
Adulto	Hombre	Propia	Casado	Cerca	67600	1	Media	18	1172
Adulto	Hombre	Propia	Soltero	Cerca	61500	2	Media	24	968
Mayor	Mujer	Propia	Casado	Cerca	72900	0	Alta	6	753
Mayor	Mujer	Alquilada	Soltero	Cerca	21200	0	Baja	6	242
Mayor	Hombre	Alquilada	Soltero	Cerca	32400	1	Baja	12	515
Adulto	Mujer	Propia	Casado	Cerca	62200	3	NA	24	2119
Mayor	Mujer	Propia	Soltero	Cerca	24400	0	Baja	6	491
Adulto	Hombre	Propia	Casado	Cerca	66500	3	Baja	12	286
Mayor	Mujer	Alquilada	Casado	Lejos	72200	0	Alta	24	3069
Joven	Mujer	Alquilada	Soltero	Cerca	16900	2	NA	6	281
Joven	Hombre	Alquilada	Casado	Cerca	56300	0	NA	24	1608
Mayor	Mujer	Propia	Soltero	Lejos	22000	0	Media	12	736
Joven	Mujer	Alquilada	Soltero	Cerca	18800	2	Baja	18	170
Joven	Mujer	Alquilada	Soltero	Cerca	26600	2	Baja	24	245
Adulto	Mujer	Alquilada	Casado	Cerca	72100	0	Alta	24	3052
Adulto	Hombre	Propia	Soltero	Lejos	55600	0	Alta	18	1786
Joven	Mujer	Alquilada	Soltero	Cerca	14600	3	Baja	6	47
Mayor	Hombre	Propia	Casado	Cerca	45900	0	Media	24	1645
Joven	Mujer	Propia	Soltero	Cerca	15100	0	Baja	6	274
Adulto	Hombre	Propia	Casado	Cerca	140700	3	Media	12	1001
Adulto	Hombre	Propia	Casado	Cerca	90300	0	Alta	24	1944
Mayor	Hombre	Propia	Casado	Cerca	95900	0	Alta	24	2585
Joven	Hombre	Alquilada	Soltero	Lejos	20800	0	NA	6	260
Adulto	Hombre	Propia	Casado	Cerca	98400	0	Alta	12	1414
Joven	Mujer	Alquilada	Soltero	Cerca	15000	2	NA	12	341
Joven	Hombre	Alquilada	Soltero	Cerca	17700	1	Baja	12	268
Adulto	Hombre	Propia	Casado	Cerca	102400	1	Alta	18	1237
Joven	Hombre	Alquilada	Soltero	Lejos	17800	1	NA	18	589
Joven	Hombre	Alquilada	Soltero	Lejos	13800	1	Baja	12	368
Adulto	Mujer	Alquilada	Soltero	Cerca	50500	1	Media	12	940
Adulto	Mujer	Alquilada	Soltero	Cerca	42000	3	Baja	18	232
Adulto	Hombre	Propia	Casado	Cerca	95800	3	Baja	12	678
Joven	Hombre	Alquilada	Soltero	Cerca	15200	0	NA	12	324
Joven	Hombre	Alquilada	Soltero	Cerca	15800	2	Baja	12	147
Mayor	Hombre	Propia	Soltero	Cerca	51400	0	NA	6	694
Mayor	Mujer	Alquilada	Casado	Cerca	38200	0	Media	6	526
Adulto	Mujer	Alquilada	Soltero	Cerca	39900	1	Baja	12	586
Joven	Mujer	Propia	Soltero	Cerca	21600	2	NA	12	491
Mayor	Mujer	Propia	Casado	Cerca	65900	0	Alta	24	1436
Adulto	Mujer	Propia	Casado	Cerca	97500	1	Alta	12	1280
Adulto	Hombre	Alquilada	Casado	Lejos	63000	0	Alta	18	2107
Joven	Mujer	Propia	Soltero	Lejos	31900	0	NA	12	860
Adulto	Mujer	Alquilada	Soltero	Lejos	45500	1	NA	18	1624
Mayor	Mujer	Propia	Soltero	Cerca	12800	0	NA	12	230
Mayor	Mujer	Propia	Casado	Lejos	12600	2	Baja	12	164
Adulto	Hombre	Alquilada	Soltero	Cerca	50700	3	Baja	6	157
Joven	Mujer	Alquilada	Soltero	Cerca	17900	3	Baja	6	62
Joven	Mujer	Alquilada	Soltero	Cerca	14400	1	Baja	18	223
Mayor	Mujer	Propia	Soltero	Cerca	23800	0	Baja	6	438
Adulto	Hombre	Propia	Casado	Cerca	84700	3	NA	24	2705
Adulto	Mujer	Alquilada	Soltero	Cerca	36900	1	Baja	6	371
Mayor	Mujer	Propia	Soltero	Cerca	20600	0	Baja	6	201
Joven	Hombre	Alquilada	Casado	Cerca	41500	0	NA	24	1213
Adulto	Hombre	Propia	Casado	Cerca	83100	2	Media	6	586
Adulto	Hombre	Propia	Casado	Lejos	88700	2	Alta	24	2693
Mayor	Mujer	Propia	Casado	Cerca	54700	0	Media	24	1404
Adulto	Hombre	Propia	Soltero	Cerca	68900	2	NA	18	2784
Joven	Mujer	Alquilada	Soltero	Cerca	22200	2	Baja	18	275
Adulto	Mujer	Propia	Casado	Cerca	70900	1	Media	12	794
Adulto	Hombre	Propia	Soltero	Cerca	55900	0	Media	12	964
Adulto	Mujer	Propia	Casado	Cerca	80800	1	NA	18	1598
Adulto	Hombre	Propia	Casado	Lejos	100600	3	Alta	24	2838
Mayor	Mujer	Propia	Soltero	Cerca	39900	0	NA	6	619
Joven	Mujer	Alquilada	Casado	Cerca	71200	3	Baja	12	392
Mayor	Mujer	Propia	Casado	Cerca	61000	0	NA	18	1850
Mayor	Hombre	Propia	Soltero	Cerca	38700	0	NA	24	1506
Adulto	Hombre	Propia	Casado	Lejos	98900	0	NA	18	3126
Adulto	Hombre	Propia	Soltero	Cerca	64300	0	NA	6	1325
Adulto	Mujer	Propia	Casado	Cerca	75600	0	NA	12	1541
Joven	Mujer	Alquilada	Casado	Lejos	53700	0	Alta	24	2491
Adulto	Hombre	Propia	Soltero	Cerca	66600	0	Alta	18	1177
Mayor	Mujer	Propia	Casado	Cerca	89000	0	Alta	12	1487
Joven	Mujer	Alquilada	Soltero	Lejos	18200	2	Baja	12	322
Joven	Mujer	Alquilada	Casado	Cerca	73600	1	Media	6	647
Adulto	Mujer	Alquilada	Soltero	Lejos	45600	0	Alta	12	1322
Joven	Hombre	Propia	Casado	Cerca	73000	0	NA	6	1534
Joven	Hombre	Propia	Soltero	Cerca	29600	3	NA	12	583
Adulto	Hombre	Alquilada	Casado	Cerca	92900	1	NA	6	1705
Mayor	Mujer	Alquilada	Soltero	Lejos	13900	0	Baja	6	191
Joven	Hombre	Alquilada	Casado	Cerca	64300	3	Baja	6	239
Adulto	Hombre	Propia	Casado	Cerca	77100	2	Media	6	568
Joven	Mujer	Propia	Soltero	Cerca	27500	3	NA	12	571
Mayor	Hombre	Alquilada	Casado	Cerca	81800	0	Alta	6	919
Mayor	Mujer	Alquilada	Casado	Cerca	41700	0	Media	18	1398
Mayor	Mujer	Propia	Casado	Cerca	51000	0	Media	12	1025
Adulto	Hombre	Alquilada	Soltero	Cerca	55900	1	Media	12	909
Joven	Hombre	Alquilada	Soltero	Cerca	19800	2	Baja	12	209
Joven	Hombre	Alquilada	Soltero	Cerca	17600	0	NA	6	245
Adulto	Hombre	Alquilada	Casado	Lejos	84100	1	Alta	24	2362
Adulto	Hombre	Propia	Casado	Cerca	85600	0	Alta	24	3380
Joven	Hombre	Alquilada	Soltero	Cerca	13400	0	Baja	18	424
Joven	Mujer	Alquilada	Casado	Lejos	47200	1	Media	12	1272
Adulto	Hombre	Propia	Casado	Cerca	96300	1	Alta	24	1909
Adulto	Hombre	Propia	Casado	Cerca	60500	3	Baja	12	340
Adulto	Mujer	Propia	Soltero	Cerca	35800	1	NA	24	1355
Adulto	Hombre	Alquilada	Casado	Cerca	106100	3	Baja	12	472
Joven	Hombre	Alquilada	Soltero	Cerca	18000	0	Baja	12	303
Adulto	Hombre	Alquilada	Soltero	Lejos	50000	1	NA	6	1079
Mayor	Mujer	Propia	Soltero	Cerca	58200	0	Media	18	981
Joven	Mujer	Alquilada	Soltero	Lejos	13500	2	Baja	12	160
Adulto	Mujer	Propia	Casado	Cerca	59900	1	NA	6	613
Joven	Mujer	Alquilada	Soltero	Lejos	18400	1	Baja	12	662
Adulto	Hombre	Alquilada	Casado	Cerca	62800	3	Baja	6	177
Adulto	Hombre	Alquilada	Soltero	Cerca	70000	0	Alta	6	785
Joven	Mujer	Alquilada	Soltero	Lejos	13600	1	NA	18	349
Adulto	Mujer	Alquilada	Casado	Cerca	97400	3	Baja	6	213
Mayor	Mujer	Propia	Casado	Lejos	37500	0	Media	18	1578
Mayor	Mujer	Propia	Soltero	Cerca	22800	0	Baja	6	258
Joven	Mujer	Alquilada	Soltero	Cerca	14200	0	NA	6	192
Joven	Hombre	Alquilada	Soltero	Cerca	18700	0	Baja	12	289
Adulto	Hombre	Propia	Casado	Cerca	107400	1	Alta	24	1821
Joven	Mujer	Alquilada	Soltero	Lejos	28900	0	Media	24	905
Adulto	Hombre	Alquilada	Casado	Cerca	38400	2	Baja	6	188
Adulto	Hombre	Alquilada	Soltero	Cerca	54200	0	NA	18	1405
Mayor	Hombre	Propia	Casado	Cerca	102700	0	NA	18	2381
Joven	Mujer	Alquilada	Soltero	Cerca	13300	1	Baja	6	184
Adulto	Hombre	Propia	Soltero	Cerca	60200	3	NA	12	1364
Joven	Hombre	Alquilada	Soltero	Cerca	21400	0	NA	12	414
Joven	Mujer	Alquilada	Soltero	Cerca	21700	2	NA	6	387
Joven	Hombre	Alquilada	Soltero	Cerca	23200	1	Baja	24	504
Adulto	Hombre	Propia	Casado	Cerca	64800	2	Media	12	574
Adulto	Hombre	Alquilada	Soltero	Cerca	55600	0	Media	6	984
Adulto	Hombre	Propia	Casado	Lejos	89500	0	Alta	24	5209
Joven	Mujer	Alquilada	Soltero	Lejos	12500	1	NA	12	422
Adulto	Hombre	Propia	Casado	Cerca	87000	0	Alta	24	1594
Adulto	Mujer	Alquilada	Soltero	Lejos	31200	3	NA	24	1087
Joven	Mujer	Alquilada	Soltero	Cerca	13700	1	NA	6	163
Adulto	Hombre	Propia	Soltero	Cerca	55500	3	Baja	18	427
Adulto	Mujer	Alquilada	Soltero	Cerca	58600	1	Media	6	624
Joven	Mujer	Propia	Casado	Lejos	55900	1	NA	6	788
Joven	Mujer	Alquilada	Soltero	Lejos	13700	2	NA	24	414
Mayor	Mujer	Propia	Casado	Lejos	81400	0	Alta	24	3001
Mayor	Mujer	Propia	Casado	Cerca	90500	0	Alta	6	863
Adulto	Mujer	Propia	Casado	Cerca	82200	1	NA	12	1517
Adulto	Hombre	Propia	Casado	Lejos	65400	3	NA	6	836
Adulto	Hombre	Propia	Soltero	Cerca	74400	0	Alta	12	1152
Joven	Hombre	Alquilada	Casado	Lejos	63300	3	NA	6	1408
Joven	Hombre	Alquilada	Casado	Lejos	51600	0	NA	12	1082
Joven	Hombre	Alquilada	Casado	Lejos	55000	0	NA	12	1162
Adulto	Mujer	Propia	Soltero	Cerca	43900	2	Baja	6	358
Joven	Mujer	Propia	Soltero	Cerca	20300	1	Baja	12	304
Joven	Mujer	Propia	Soltero	Lejos	16300	0	NA	12	360
Adulto	Hombre	Propia	Casado	Cerca	97600	2	Media	12	1162
Mayor	Mujer	Alquilada	Soltero	Lejos	15100	0	Baja	6	348
Joven	Mujer	Alquilada	Soltero	Cerca	12500	3	NA	12	206
Joven	Mujer	Alquilada	Soltero	Cerca	10600	2	Baja	12	114
Adulto	Mujer	Propia	Soltero	Cerca	41300	1	NA	18	932
Joven	Mujer	Propia	Soltero	Cerca	27200	2	Baja	18	446
Adulto	Hombre	Propia	Casado	Cerca	102400	1	NA	12	2466
Joven	Mujer	Propia	Soltero	Lejos	27900	1	NA	12	576
Mayor	Hombre	Alquilada	Casado	Lejos	23800	0	NA	12	428
Adulto	Hombre	Propia	Casado	Cerca	100000	1	Alta	24	2247
Adulto	Mujer	Alquilada	Casado	Lejos	43300	3	Media	24	716
Adulto	Hombre	Propia	Casado	Cerca	65800	1	NA	12	1017
Adulto	Mujer	Propia	Casado	Cerca	49700	2	Baja	18	613
Adulto	Mujer	Alquilada	Casado	Cerca	82300	2	Media	12	580
Adulto	Hombre	Alquilada	Soltero	Cerca	41200	0	Media	12	841
Joven	Hombre	Alquilada	Soltero	Cerca	29200	0	Baja	18	737
Adulto	Mujer	Propia	Soltero	Cerca	51900	2	NA	12	1162
Adulto	Mujer	Propia	Casado	Cerca	85500	2	Media	18	895
Joven	Mujer	Alquilada	Soltero	Lejos	12400	3	Baja	18	205
Adulto	Mujer	Propia	Casado	Cerca	111900	1	NA	12	2340
Adulto	Mujer	Alquilada	Soltero	Cerca	40400	1	Baja	24	630
Joven	Hombre	Alquilada	Soltero	Lejos	10900	0	Baja	24	407
Adulto	Hombre	Propia	Casado	Cerca	82400	3	NA	18	2122
Joven	Mujer	Alquilada	Soltero	Cerca	13200	1	Baja	12	227
Adulto	Hombre	Alquilada	Soltero	Cerca	57800	0	Media	24	1149
Mayor	Mujer	Propia	Casado	Cerca	52200	1	Media	12	669
Adulto	Hombre	Alquilada	Casado	Lejos	64600	2	NA	24	2935
Adulto	Mujer	Propia	Soltero	Cerca	43100	0	NA	24	1444
Mayor	Mujer	Propia	Casado	Lejos	40100	0	Media	12	1384
Mayor	Hombre	Propia	Casado	Cerca	84500	0	NA	12	1557
Mayor	Hombre	Alquilada	Casado	Cerca	34500	0	Media	12	802
Joven	Mujer	Alquilada	Casado	Cerca	61000	1	NA	18	1611
Mayor	Mujer	Propia	Casado	Lejos	79300	0	NA	12	2047
Adulto	Hombre	Alquilada	Soltero	Cerca	44500	0	Media	24	1175
Joven	Hombre	Alquilada	Casado	Cerca	39700	0	Media	18	1011
Mayor	Mujer	Propia	Soltero	Cerca	30300	0	Baja	18	1062
Joven	Mujer	Alquilada	Soltero	Cerca	20100	1	Baja	12	271
Mayor	Hombre	Propia	Casado	Lejos	86500	0	Alta	24	2690
Mayor	Mujer	Alquilada	Soltero	Cerca	42500	0	Media	24	918
Adulto	Hombre	Propia	Casado	Cerca	102300	0	Alta	24	2438
Adulto	Mujer	Propia	Soltero	Lejos	52600	2	Media	12	1307
Adulto	Mujer	Alquilada	Soltero	Lejos	37800	2	NA	12	1185
Joven	Mujer	Alquilada	Soltero	Cerca	20300	2	Baja	12	180
Adulto	Hombre	Propia	Casado	Cerca	71600	1	NA	12	1198
Joven	Hombre	Alquilada	Casado	Cerca	54500	1	Media	18	1001
Adulto	Hombre	Alquilada	Soltero	Cerca	54700	0	Media	24	1355
Adulto	Hombre	Alquilada	Soltero	Lejos	58600	2	NA	6	989
Adulto	Hombre	Alquilada	Soltero	Lejos	53800	0	Alta	12	1803
Adulto	Mujer	Propia	Casado	Cerca	131500	3	NA	6	2840
Adulto	Hombre	Alquilada	Soltero	Lejos	52200	0	Alta	24	1909
Joven	Hombre	Alquilada	Casado	Cerca	37200	1	Baja	6	247
Joven	Hombre	Alquilada	Soltero	Lejos	22900	1	NA	12	814
Joven	Hombre	Alquilada	Casado	Cerca	55500	3	Baja	12	216
Joven	Mujer	Alquilada	Soltero	Lejos	12800	1	NA	24	365
Joven	Mujer	Alquilada	Soltero	Cerca	17600	2	Baja	18	163
Mayor	Mujer	Propia	Soltero	Lejos	28300	0	Media	24	933
Mayor	Hombre	Propia	Soltero	Cerca	41900	0	Media	6	654
Joven	Mujer	Alquilada	Soltero	Cerca	14100	3	NA	6	153
Adulto	Hombre	Alquilada	Soltero	Cerca	52100	0	NA	12	1668
Adulto	Hombre	Alquilada	Soltero	Lejos	38700	1	Media	18	1009
Adulto	Mujer	Alquilada	Soltero	Lejos	44100	1	Media	18	1659
Adulto	Hombre	Propia	Casado	Lejos	79200	1	Alta	6	1905
Joven	Mujer	Alquilada	Soltero	Cerca	22600	3	NA	6	521
Adulto	Hombre	Alquilada	Soltero	Cerca	55100	2	NA	6	826
Mayor	Mujer	Propia	Casado	Lejos	70400	0	Alta	18	2610
Adulto	Hombre	Propia	Casado	Cerca	107300	2	Media	24	1194
Adulto	Mujer	Alquilada	Casado	Cerca	66500	1	NA	24	1181
Joven	Hombre	Alquilada	Soltero	Cerca	10200	0	NA	24	362
Joven	Mujer	Propia	Soltero	Lejos	41000	1	Media	12	768
Adulto	Mujer	Alquilada	Soltero	Cerca	26200	1	Baja	12	381
Adulto	Hombre	Alquilada	Casado	Lejos	72200	3	Media	18	1811
Adulto	Hombre	Alquilada	Soltero	Lejos	36700	1	Media	24	1218
Mayor	Hombre	Propia	Casado	Lejos	74500	0	NA	18	1413
Adulto	Mujer	Propia	Soltero	Cerca	60200	1	NA	12	1748
Mayor	Hombre	Alquilada	Soltero	Cerca	34500	0	Media	24	639
Mayor	Mujer	Propia	Casado	Cerca	83700	0	Alta	18	1582
Joven	Hombre	Alquilada	Soltero	Lejos	14800	1	NA	12	376
Adulto	Hombre	Propia	Casado	Cerca	106400	0	NA	12	1757
Joven	Mujer	Alquilada	Casado	Cerca	42000	3	Baja	6	105
Adulto	Hombre	Alquilada	Casado	Cerca	118800	0	Alta	12	2631
Joven	Mujer	Propia	Soltero	Lejos	21900	2	Baja	24	486
Adulto	Hombre	Alquilada	Soltero	Cerca	39500	1	NA	6	412
Adulto	Hombre	Alquilada	Soltero	Cerca	45900	0	Media	12	716
Joven	Mujer	Alquilada	Casado	Cerca	37100	2	Baja	24	653
Adulto	Mujer	Alquilada	Soltero	Cerca	28200	1	Baja	6	224
Adulto	Hombre	Alquilada	Casado	Cerca	74600	2	Media	18	705
Adulto	Hombre	Propia	Casado	Cerca	122700	1	NA	18	4984
Joven	Mujer	Alquilada	Soltero	Cerca	14200	2	Baja	18	197
Adulto	Hombre	Propia	Casado	Lejos	75500	0	NA	18	2450
Adulto	Hombre	Propia	Soltero	Cerca	62900	0	NA	24	2561
Joven	Hombre	Alquilada	Soltero	Lejos	19400	0	Baja	6	563
Adulto	Mujer	Alquilada	Soltero	Cerca	46600	0	NA	12	546
